Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2004","2004","100 g/ha","34074","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2005","2005","100 g/ha","29969","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2006","2006","100 g/ha","36049","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2007","2007","100 g/ha","46830","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2008","2008","100 g/ha","51238","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2009","2009","100 g/ha","39887","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2010","2010","100 g/ha","45371","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2011","2011","100 g/ha","56883","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2012","2012","100 g/ha","49871","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2013","2013","100 g/ha","50375","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2014","2014","100 g/ha","43897","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2015","2015","100 g/ha","38580","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2016","2016","100 g/ha","41213","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2017","2017","100 g/ha","41188","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2018","2018","100 g/ha","39024","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2019","2019","100 g/ha","40064","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2020","2020","100 g/ha","46358","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2021","2021","100 g/ha","40979","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1961","1961","100 g/ha","139842","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1962","1962","100 g/ha","141510","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1963","1963","100 g/ha","143045","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1964","1964","100 g/ha","156929","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1965","1965","100 g/ha","158906","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1966","1966","100 g/ha","153463","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1967","1967","100 g/ha","147490","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1968","1968","100 g/ha","151143","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1969","1969","100 g/ha","189960","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1970","1970","100 g/ha","178164","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1971","1971","100 g/ha","177612","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1972","1972","100 g/ha","162615","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1973","1973","100 g/ha","175948","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1974","1974","100 g/ha","186239","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1975","1975","100 g/ha","213351","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1976","1976","100 g/ha","179918","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1977","1977","100 g/ha","187260","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1978","1978","100 g/ha","210615","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1979","1979","100 g/ha","223457","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1980","1980","100 g/ha","239794","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1981","1981","100 g/ha","209090","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1982","1982","100 g/ha","217631","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1983","1983","100 g/ha","221224","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1984","1984","100 g/ha","220621","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1985","1985","100 g/ha","205967","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1986","1986","100 g/ha","199117","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1987","1987","100 g/ha","266204","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1988","1988","100 g/ha","220676","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1989","1989","100 g/ha","232220","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1990","1990","100 g/ha","228601","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1991","1991","100 g/ha","242203","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1992","1992","100 g/ha","260317","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1993","1993","100 g/ha","260668","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1994","1994","100 g/ha","278659","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1995","1995","100 g/ha","256308","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1996","1996","100 g/ha","248884","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1997","1997","100 g/ha","247279","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1998","1998","100 g/ha","279976","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1999","1999","100 g/ha","262360","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2000","2000","100 g/ha","273483","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2001","2001","100 g/ha","258045","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2002","2002","100 g/ha","241996","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2003","2003","100 g/ha","253215","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2004","2004","100 g/ha","305621","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2005","2005","100 g/ha","293587","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2006","2006","100 g/ha","305857","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2007","2007","100 g/ha","290344","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2008","2008","100 g/ha","309247","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2009","2009","100 g/ha","314830","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2010","2010","100 g/ha","309087","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2011","2011","100 g/ha","319842","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2012","2012","100 g/ha","309933","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2013","2013","100 g/ha","362135","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2014","2014","100 g/ha","416171","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2015","2015","100 g/ha","347767","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2016","2016","100 g/ha","391856","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2017","2017","100 g/ha","394569","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2018","2018","100 g/ha","394965","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2019","2019","100 g/ha","421498","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2020","2020","100 g/ha","389718","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","2021","2021","100 g/ha","380379","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1961","1961","100 g/ha","107146","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1962","1962","100 g/ha","96730","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1963","1963","100 g/ha","115581","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1964","1964","100 g/ha","124560","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1965","1965","100 g/ha","132615","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1966","1966","100 g/ha","115638","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1967","1967","100 g/ha","89640","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1968","1968","100 g/ha","91689","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1969","1969","100 g/ha","140788","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1970","1970","100 g/ha","115376","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1971","1971","100 g/ha","129811","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1972","1972","100 g/ha","92905","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1973","1973","100 g/ha","120779","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1974","1974","100 g/ha","70371","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1975","1975","100 g/ha","138273","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1976","1976","100 g/ha","122063","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1977","1977","100 g/ha","117194","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1978","1978","100 g/ha","101408","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1979","1979","100 g/ha","130299","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1980","1980","100 g/ha","116564","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1981","1981","100 g/ha","86002","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1982","1982","100 g/ha","117835","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1983","1983","100 g/ha","95658","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1984","1984","100 g/ha","136395","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1985","1985","100 g/ha","146843","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1986","1986","100 g/ha","62547","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1987","1987","100 g/ha","133591","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1988","1988","100 g/ha","119048","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1989","1989","100 g/ha","143799","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1990","1990","100 g/ha","149710","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1991","1991","100 g/ha","114503","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1992","1992","100 g/ha","121751","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1993","1993","100 g/ha","104973","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1994","1994","100 g/ha","161305","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1995","1995","100 g/ha","64005","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1996","1996","100 g/ha","82376","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1997","1997","100 g/ha","145851","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1998","1998","100 g/ha","124239","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","1999","1999","100 g/ha","99539","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2000","2000","100 g/ha","106579","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2001","2001","100 g/ha","95477","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2002","2002","100 g/ha","116406","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2003","2003","100 g/ha","132242","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2004","2004","100 g/ha","152752","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2005","2005","100 g/ha","131308","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2006","2006","100 g/ha","76408","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2007","2007","100 g/ha","156767","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2008","2008","100 g/ha","146953","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2009","2009","100 g/ha","124732","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2010","2010","100 g/ha","122471","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2011","2011","100 g/ha","126072","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2012","2012","100 g/ha","120089","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2013","2013","100 g/ha","126099","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2014","2014","100 g/ha","134508","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2015","2015","100 g/ha","97072","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2016","2016","100 g/ha","130584","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2017","2017","100 g/ha","90613","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2018","2018","100 g/ha","83636","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2019","2019","100 g/ha","119948","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2020","2020","100 g/ha","82710","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01343","Apricots","2021","2021","100 g/ha","125273","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1961","1961","100 g/ha","67247","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1962","1962","100 g/ha","61656","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1963","1963","100 g/ha","67260","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1964","1964","100 g/ha","72914","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1965","1965","100 g/ha","78461","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1966","1966","100 g/ha","84120","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1967","1967","100 g/ha","85230","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1968","1968","100 g/ha","67251","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1969","1969","100 g/ha","72917","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1970","1970","100 g/ha","68380","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1971","1971","100 g/ha","80710","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1972","1972","100 g/ha","71694","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1973","1973","100 g/ha","56044","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1974","1974","100 g/ha","72848","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1975","1975","100 g/ha","80654","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1976","1976","100 g/ha","85219","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1977","1977","100 g/ha","73990","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1978","1978","100 g/ha","59443","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1979","1979","100 g/ha","100887","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1980","1980","100 g/ha","114411","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1981","1981","100 g/ha","146492","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1982","1982","100 g/ha","113702","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1983","1983","100 g/ha","84485","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1984","1984","100 g/ha","99660","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1985","1985","100 g/ha","124642","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1986","1986","100 g/ha","88246","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1987","1987","100 g/ha","122574","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1988","1988","100 g/ha","117441","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1989","1989","100 g/ha","127366","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1990","1990","100 g/ha","125895","E","Estimated value"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1991","1991","100 g/ha","137968","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1992","1992","100 g/ha","128906","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1993","1993","100 g/ha","123387","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1994","1994","100 g/ha","145833","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1995","1995","100 g/ha","103134","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1996","1996","100 g/ha","112077","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1997","1997","100 g/ha","112062","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1998","1998","100 g/ha","100763","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","1999","1999","100 g/ha","128539","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","2000","2000","100 g/ha","128933","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","2001","2001","100 g/ha","140000","A","Official figure"
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01216","Artichokes","2002","2002","100 g/ha","128825","A","Official figure"
