Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1986","1986","100 g/ha","11250","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1986","1986","t","189400","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1987","1987","ha","168750","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1987","1987","100 g/ha","29630","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1987","1987","t","500000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1988","1988","ha","169560","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1988","1988","100 g/ha","26356","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1988","1988","t","446900","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1989","1989","ha","166330","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1989","1989","100 g/ha","22317","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1989","1989","t","371200","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1990","1990","ha","166330","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1990","1990","100 g/ha","30049","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1990","1990","t","499800","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1991","1991","ha","163900","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1991","1991","100 g/ha","22648","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1991","1991","t","371200","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1992","1992","ha","162280","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1992","1992","100 g/ha","25401","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1992","1992","t","412200","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1993","1993","ha","167130","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1993","1993","100 g/ha","21767","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1993","1993","t","363800","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1994","1994","ha","175230","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1994","1994","100 g/ha","30246","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1994","1994","t","530000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1995","1995","ha","169160","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1995","1995","100 g/ha","16316","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1995","1995","t","276000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1996","1996","ha","173200","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1996","1996","100 g/ha","22258","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1996","1996","t","385500","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1997","1997","ha","181220","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1997","1997","100 g/ha","30295","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1997","1997","t","549000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1998","1998","ha","188600","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1998","1998","100 g/ha","20838","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1998","1998","t","393000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","1999","1999","ha","196800","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","1999","1999","100 g/ha","32063","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","1999","1999","t","631000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2000","2000","ha","202340","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2000","2000","100 g/ha","26342","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2000","2000","t","533000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2001","2001","ha","214483","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2001","2001","100 g/ha","28402","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2001","2001","t","609178","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2002","2002","ha","220554","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2002","2002","100 g/ha","36275","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2002","2002","t","800051","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2003","2003","ha","222577","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2003","2003","100 g/ha","35325","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2003","2003","t","786262","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2004","2004","ha","230671","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2004","2004","100 g/ha","34074","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2004","2004","t","785985","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2005","2005","ha","234718","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2005","2005","100 g/ha","29969","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2005","2005","t","703431","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2006","2006","ha","234718","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2006","2006","100 g/ha","36049","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2006","2006","t","846131","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2007","2007","ha","259002","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2007","2007","100 g/ha","46830","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2007","2007","t","1212900","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2008","2008","ha","275189","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2008","2008","100 g/ha","51238","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2008","2008","t","1410000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2009","2009","ha","291374","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2009","2009","100 g/ha","39887","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2009","2009","t","1162200","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2010","2010","ha","311608","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2010","2010","100 g/ha","45371","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2010","2010","t","1413800","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2011","2011","ha","323749","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2011","2011","100 g/ha","56883","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2011","2011","t","1841587","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2012","2012","ha","331854","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2012","2012","100 g/ha","49871","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2012","2012","t","1655000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2013","2013","ha","343983","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2013","2013","100 g/ha","50375","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2013","2013","t","1732800","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2014","2014","ha","352077","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2014","2014","100 g/ha","43897","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2014","2014","t","1545500","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2015","2015","ha","372311","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2015","2015","100 g/ha","38580","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2015","2015","t","1436383","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2016","2016","ha","392550","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2016","2016","100 g/ha","41213","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2016","2016","t","1617816","X","Figure from international organizations","Unofficial figure"
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2017","2017","ha","416830","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2017","2017","100 g/ha","41188","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2017","2017","t","1716850","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2018","2018","ha","441110","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2018","2018","100 g/ha","39024","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2018","2018","t","1721380","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2019","2019","ha","477530","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2019","2019","100 g/ha","40064","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2019","2019","t","1913160","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2020","2020","ha","505863","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2020","2020","100 g/ha","46358","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2020","2020","t","2345070","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01371","Almonds, in shell","2021","2021","ha","534191","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01371","Almonds, in shell","2021","2021","100 g/ha","40979","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01371","Almonds, in shell","2021","2021","t","2189040","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01341","Apples","1961","1961","ha","184780","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1961","1961","100 g/ha","139842","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01341","Apples","1961","1961","t","2584000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01341","Apples","1962","1962","ha","182390","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1962","1962","100 g/ha","141510","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01341","Apples","1962","1962","t","2581000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01341","Apples","1963","1963","ha","182390","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1963","1963","100 g/ha","143045","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01341","Apples","1963","1963","t","2609000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01341","Apples","1964","1964","ha","182630","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1964","1964","100 g/ha","156929","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01341","Apples","1964","1964","t","2866000","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01341","Apples","1965","1965","ha","175270","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1965","1965","100 g/ha","158906","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01341","Apples","1965","1965","t","2785146","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01341","Apples","1966","1966","ha","170290","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1966","1966","100 g/ha","153463","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01341","Apples","1966","1966","t","2613313","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01341","Apples","1967","1967","ha","166240","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1967","1967","100 g/ha","147490","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01341","Apples","1967","1967","t","2451881","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01341","Apples","1968","1968","ha","163450","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1968","1968","100 g/ha","151143","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01341","Apples","1968","1968","t","2470433","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01341","Apples","1969","1969","ha","162840","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1969","1969","100 g/ha","189960","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01341","Apples","1969","1969","t","3093302","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01341","Apples","1970","1970","ha","162880","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1970","1970","100 g/ha","178164","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01341","Apples","1970","1970","t","2901933","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01341","Apples","1971","1971","ha","162760","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1971","1971","100 g/ha","177612","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01341","Apples","1971","1971","t","2890820","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01341","Apples","1972","1972","ha","163980","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1972","1972","100 g/ha","162615","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01341","Apples","1972","1972","t","2666565","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01341","Apples","1973","1973","ha","161510","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1973","1973","100 g/ha","175948","E","Estimated value",""
"QCL","Crops and livestock products","840","United States of America","5510","Production","01341","Apples","1973","1973","t","2841741","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5312","Area harvested","01341","Apples","1974","1974","ha","160250","A","Official figure",""
"QCL","Crops and livestock products","840","United States of America","5419","Yield","01341","Apples","1974","1974","100 g/ha","186239","E","Estimated value",""
