Domain,Area,Element,Item,Year,Value
"Crops and livestock products","United States of America","Yield","Apples","1970","178164"
"Crops and livestock products","United States of America","Yield","Apples","1971","177612"
"Crops and livestock products","United States of America","Yield","Apples","1972","162615"
"Crops and livestock products","United States of America","Yield","Apples","1973","175948"
"Crops and livestock products","United States of America","Yield","Apples","1974","186239"
"Crops and livestock products","United States of America","Yield","Apples","1975","213351"
"Crops and livestock products","United States of America","Yield","Apples","1976","179918"
"Crops and livestock products","United States of America","Yield","Apples","1977","187260"
"Crops and livestock products","United States of America","Yield","Apples","1978","210615"
"Crops and livestock products","United States of America","Yield","Apples","1979","223457"
"Crops and livestock products","United States of America","Yield","Apples","1980","239794"
"Crops and livestock products","United States of America","Yield","Apples","1981","209090"
"Crops and livestock products","United States of America","Yield","Apples","1982","217631"
"Crops and livestock products","United States of America","Yield","Apples","1983","221224"
"Crops and livestock products","United States of America","Yield","Apples","1984","220621"
"Crops and livestock products","United States of America","Yield","Apples","1985","205967"
"Crops and livestock products","United States of America","Yield","Apples","1986","199117"
"Crops and livestock products","United States of America","Yield","Apples","1987","266204"
"Crops and livestock products","United States of America","Yield","Apples","1988","220676"
"Crops and livestock products","United States of America","Yield","Apples","1989","232220"
"Crops and livestock products","United States of America","Yield","Apples","1990","228601"
"Crops and livestock products","United States of America","Yield","Apples","1991","242203"
"Crops and livestock products","United States of America","Yield","Apples","1992","260317"
"Crops and livestock products","United States of America","Yield","Apples","1993","260668"
"Crops and livestock products","United States of America","Yield","Apples","1994","278659"
"Crops and livestock products","United States of America","Yield","Apples","1995","256308"
"Crops and livestock products","United States of America","Yield","Apples","1996","248884"
"Crops and livestock products","United States of America","Yield","Apples","1997","247279"
"Crops and livestock products","United States of America","Yield","Apples","1998","279976"
"Crops and livestock products","United States of America","Yield","Apples","1999","262360"
"Crops and livestock products","United States of America","Yield","Apples","2000","273483"
"Crops and livestock products","United States of America","Yield","Apples","2001","258045"
"Crops and livestock products","United States of America","Yield","Apples","2002","241996"
"Crops and livestock products","United States of America","Yield","Apples","2003","253215"
"Crops and livestock products","United States of America","Yield","Apples","2004","305621"
"Crops and livestock products","United States of America","Yield","Apples","2005","293587"
"Crops and livestock products","United States of America","Yield","Apples","2006","305857"
"Crops and livestock products","United States of America","Yield","Apples","2007","290344"
"Crops and livestock products","United States of America","Yield","Apples","2008","309247"
"Crops and livestock products","United States of America","Yield","Apples","2009","314830"
"Crops and livestock products","United States of America","Yield","Apples","2010","309087"
"Crops and livestock products","United States of America","Yield","Apples","2011","319842"
"Crops and livestock products","United States of America","Yield","Apples","2012","309933"
"Crops and livestock products","United States of America","Yield","Apples","2013","362135"
"Crops and livestock products","United States of America","Yield","Apples","2014","416171"
"Crops and livestock products","United States of America","Yield","Apples","2015","347767"
"Crops and livestock products","United States of America","Yield","Apples","2016","391856"
"Crops and livestock products","United States of America","Yield","Apples","2017","394569"
"Crops and livestock products","United States of America","Yield","Apples","2018","394965"
"Crops and livestock products","United States of America","Yield","Apples","2019","421498"
"Crops and livestock products","United States of America","Yield","Apples","2020","389718"
"Crops and livestock products","United States of America","Yield","Apples","2021","380379"
"Crops and livestock products","United States of America","Yield","Apricots","1961","107146"
"Crops and livestock products","United States of America","Yield","Apricots","1962","96730"
"Crops and livestock products","United States of America","Yield","Apricots","1963","115581"
"Crops and livestock products","United States of America","Yield","Apricots","1964","124560"
"Crops and livestock products","United States of America","Yield","Apricots","1965","132615"
"Crops and livestock products","United States of America","Yield","Apricots","1966","115638"
"Crops and livestock products","United States of America","Yield","Apricots","1967","89640"
"Crops and livestock products","United States of America","Yield","Apricots","1968","91689"
"Crops and livestock products","United States of America","Yield","Apricots","1969","140788"
"Crops and livestock products","United States of America","Yield","Apricots","1970","115376"
"Crops and livestock products","United States of America","Yield","Apricots","1971","129811"
"Crops and livestock products","United States of America","Yield","Apricots","1972","92905"
"Crops and livestock products","United States of America","Yield","Apricots","1973","120779"
"Crops and livestock products","United States of America","Yield","Apricots","1974","70371"
"Crops and livestock products","United States of America","Yield","Apricots","1975","138273"
"Crops and livestock products","United States of America","Yield","Apricots","1976","122063"
"Crops and livestock products","United States of America","Yield","Apricots","1977","117194"
"Crops and livestock products","United States of America","Yield","Apricots","1978","101408"
"Crops and livestock products","United States of America","Yield","Apricots","1979","130299"
"Crops and livestock products","United States of America","Yield","Apricots","1980","116564"
"Crops and livestock products","United States of America","Yield","Apricots","1981","86002"
"Crops and livestock products","United States of America","Yield","Apricots","1982","117835"
"Crops and livestock products","United States of America","Yield","Apricots","1983","95658"
"Crops and livestock products","United States of America","Yield","Apricots","1984","136395"
"Crops and livestock products","United States of America","Yield","Apricots","1985","146843"
"Crops and livestock products","United States of America","Yield","Apricots","1986","62547"
"Crops and livestock products","United States of America","Yield","Apricots","1987","133591"
"Crops and livestock products","United States of America","Yield","Apricots","1988","119048"
"Crops and livestock products","United States of America","Yield","Apricots","1989","143799"
"Crops and livestock products","United States of America","Yield","Apricots","1990","149710"
"Crops and livestock products","United States of America","Yield","Apricots","1991","114503"
"Crops and livestock products","United States of America","Yield","Apricots","1992","121751"
"Crops and livestock products","United States of America","Yield","Apricots","1993","104973"
"Crops and livestock products","United States of America","Yield","Apricots","1994","161305"
"Crops and livestock products","United States of America","Yield","Apricots","1995","64005"
"Crops and livestock products","United States of America","Yield","Apricots","1996","82376"
"Crops and livestock products","United States of America","Yield","Apricots","1997","145851"
"Crops and livestock products","United States of America","Yield","Apricots","1998","124239"
"Crops and livestock products","United States of America","Yield","Apricots","1999","99539"
"Crops and livestock products","United States of America","Yield","Apricots","2000","106579"
"Crops and livestock products","United States of America","Yield","Apricots","2001","95477"
"Crops and livestock products","United States of America","Yield","Apricots","2002","116406"
"Crops and livestock products","United States of America","Yield","Apricots","2003","132242"
"Crops and livestock products","United States of America","Yield","Apricots","2004","152752"
"Crops and livestock products","United States of America","Yield","Apricots","2005","131308"
"Crops and livestock products","United States of America","Yield","Apricots","2006","76408"
"Crops and livestock products","United States of America","Yield","Apricots","2007","156767"
"Crops and livestock products","United States of America","Yield","Apricots","2008","146953"
"Crops and livestock products","United States of America","Yield","Apricots","2009","124732"
"Crops and livestock products","United States of America","Yield","Apricots","2010","122471"
"Crops and livestock products","United States of America","Yield","Apricots","2011","126072"
"Crops and livestock products","United States of America","Yield","Apricots","2012","120089"
"Crops and livestock products","United States of America","Yield","Apricots","2013","126099"
"Crops and livestock products","United States of America","Yield","Apricots","2014","134508"
"Crops and livestock products","United States of America","Yield","Apricots","2015","97072"
"Crops and livestock products","United States of America","Yield","Apricots","2016","130584"
"Crops and livestock products","United States of America","Yield","Apricots","2017","90613"
"Crops and livestock products","United States of America","Yield","Apricots","2018","83636"
"Crops and livestock products","United States of America","Yield","Apricots","2019","119948"
"Crops and livestock products","United States of America","Yield","Apricots","2020","82710"
"Crops and livestock products","United States of America","Yield","Apricots","2021","125273"
"Crops and livestock products","United States of America","Yield","Artichokes","1961","67247"
"Crops and livestock products","United States of America","Yield","Artichokes","1962","61656"
"Crops and livestock products","United States of America","Yield","Artichokes","1963","67260"
"Crops and livestock products","United States of America","Yield","Artichokes","1964","72914"
"Crops and livestock products","United States of America","Yield","Artichokes","1965","78461"
"Crops and livestock products","United States of America","Yield","Artichokes","1966","84120"
"Crops and livestock products","United States of America","Yield","Artichokes","1967","85230"
"Crops and livestock products","United States of America","Yield","Artichokes","1968","67251"
"Crops and livestock products","United States of America","Yield","Artichokes","1969","72917"
"Crops and livestock products","United States of America","Yield","Artichokes","1970","68380"
"Crops and livestock products","United States of America","Yield","Artichokes","1971","80710"
"Crops and livestock products","United States of America","Yield","Artichokes","1972","71694"
"Crops and livestock products","United States of America","Yield","Artichokes","1973","56044"
"Crops and livestock products","United States of America","Yield","Artichokes","1974","72848"
"Crops and livestock products","United States of America","Yield","Artichokes","1975","80654"
"Crops and livestock products","United States of America","Yield","Artichokes","1976","85219"
"Crops and livestock products","United States of America","Yield","Artichokes","1977","73990"
"Crops and livestock products","United States of America","Yield","Artichokes","1978","59443"
"Crops and livestock products","United States of America","Yield","Artichokes","1979","100887"
"Crops and livestock products","United States of America","Yield","Artichokes","1980","114411"
"Crops and livestock products","United States of America","Yield","Artichokes","1981","146492"
"Crops and livestock products","United States of America","Yield","Artichokes","1982","113702"
"Crops and livestock products","United States of America","Yield","Artichokes","1983","84485"
"Crops and livestock products","United States of America","Yield","Artichokes","1984","99660"
"Crops and livestock products","United States of America","Yield","Artichokes","1985","124642"
"Crops and livestock products","United States of America","Yield","Artichokes","1986","88246"
"Crops and livestock products","United States of America","Yield","Artichokes","1987","122574"
"Crops and livestock products","United States of America","Yield","Artichokes","1988","117441"
"Crops and livestock products","United States of America","Yield","Artichokes","1989","127366"
"Crops and livestock products","United States of America","Yield","Artichokes","1990","125895"
"Crops and livestock products","United States of America","Yield","Artichokes","1991","137968"
"Crops and livestock products","United States of America","Yield","Artichokes","1992","128906"
"Crops and livestock products","United States of America","Yield","Artichokes","1993","123387"
"Crops and livestock products","United States of America","Yield","Artichokes","1994","145833"
"Crops and livestock products","United States of America","Yield","Artichokes","1995","103134"
"Crops and livestock products","United States of America","Yield","Artichokes","1996","112077"
"Crops and livestock products","United States of America","Yield","Artichokes","1997","112062"
"Crops and livestock products","United States of America","Yield","Artichokes","1998","100763"
"Crops and livestock products","United States of America","Yield","Artichokes","1999","128539"
"Crops and livestock products","United States of America","Yield","Artichokes","2000","128933"
"Crops and livestock products","United States of America","Yield","Artichokes","2001","140000"
"Crops and livestock products","United States of America","Yield","Artichokes","2002","128825"
"Crops and livestock products","United States of America","Yield","Artichokes","2003","157113"
"Crops and livestock products","United States of America","Yield","Artichokes","2004","123092"
"Crops and livestock products","United States of America","Yield","Artichokes","2005","123188"
"Crops and livestock products","United States of America","Yield","Artichokes","2006","96761"
"Crops and livestock products","United States of America","Yield","Artichokes","2007","123136"
"Crops and livestock products","United States of America","Yield","Artichokes","2008","145758"
"Crops and livestock products","United States of America","Yield","Artichokes","2009","140115"
"Crops and livestock products","United States of America","Yield","Artichokes","2010","134674"
"Crops and livestock products","United States of America","Yield","Artichokes","2011","151299"
"Crops and livestock products","United States of America","Yield","Artichokes","2012","162847"
"Crops and livestock products","United States of America","Yield","Artichokes","2013","151568"
"Crops and livestock products","United States of America","Yield","Artichokes","2014","145932"
"Crops and livestock products","United States of America","Yield","Artichokes","2015","151418"
"Crops and livestock products","United States of America","Yield","Artichokes","2016","162618"
"Crops and livestock products","United States of America","Yield","Artichokes","2017","145697"
"Crops and livestock products","United States of America","Yield","Artichokes","2018","162543"
"Crops and livestock products","United States of America","Yield","Artichokes","2019","162524"
"Crops and livestock products","United States of America","Yield","Artichokes","2020","168120"
"Crops and livestock products","United States of America","Yield","Artichokes","2021","190540"
"Crops and livestock products","United States of America","Yield","Asparagus","1961","28027"
"Crops and livestock products","United States of America","Yield","Asparagus","1962","28572"
"Crops and livestock products","United States of America","Yield","Asparagus","1963","29000"
"Crops and livestock products","United States of America","Yield","Asparagus","1964","27284"
"Crops and livestock products","United States of America","Yield","Asparagus","1965","28015"
"Crops and livestock products","United States of America","Yield","Asparagus","1966","29038"
"Crops and livestock products","United States of America","Yield","Asparagus","1967","27132"
"Crops and livestock products","United States of America","Yield","Asparagus","1968","29573"
"Crops and livestock products","United States of America","Yield","Asparagus","1969","27353"
"Crops and livestock products","United States of America","Yield","Asparagus","1970","27508"
"Crops and livestock products","United States of America","Yield","Asparagus","1971","27401"
"Crops and livestock products","United States of America","Yield","Asparagus","1972","27214"
"Crops and livestock products","United States of America","Yield","Asparagus","1973","24724"
"Crops and livestock products","United States of America","Yield","Asparagus","1974","25947"
"Crops and livestock products","United States of America","Yield","Asparagus","1975","23390"
"Crops and livestock products","United States of America","Yield","Asparagus","1976","27864"
"Crops and livestock products","United States of America","Yield","Asparagus","1977","28491"
"Crops and livestock products","United States of America","Yield","Asparagus","1978","24882"
"Crops and livestock products","United States of America","Yield","Asparagus","1979","26555"
"Crops and livestock products","United States of America","Yield","Asparagus","1980","22579"
"Crops and livestock products","United States of America","Yield","Asparagus","1981","23404"
"Crops and livestock products","United States of America","Yield","Asparagus","1982","22936"
"Crops and livestock products","United States of America","Yield","Asparagus","1983","23006"
"Crops and livestock products","United States of America","Yield","Asparagus","1984","23631"
"Crops and livestock products","United States of America","Yield","Asparagus","1985","26179"
"Crops and livestock products","United States of America","Yield","Asparagus","1986","25976"
"Crops and livestock products","United States of America","Yield","Asparagus","1987","26351"
"Crops and livestock products","United States of America","Yield","Asparagus","1988","26900"
"Crops and livestock products","United States of America","Yield","Asparagus","1989","28385"
"Crops and livestock products","United States of America","Yield","Asparagus","1990","28997"
"Crops and livestock products","United States of America","Yield","Asparagus","1991","28188"
"Crops and livestock products","United States of America","Yield","Asparagus","1992","30588"
"Crops and livestock products","United States of America","Yield","Asparagus","1993","30429"
"Crops and livestock products","United States of America","Yield","Asparagus","1994","32090"
"Crops and livestock products","United States of America","Yield","Asparagus","1995","33407"
"Crops and livestock products","United States of America","Yield","Asparagus","1996","30308"
"Crops and livestock products","United States of America","Yield","Asparagus","1997","30674"
"Crops and livestock products","United States of America","Yield","Asparagus","1998","29804"
"Crops and livestock products","United States of America","Yield","Asparagus","1999","32139"
"Crops and livestock products","United States of America","Yield","Asparagus","2000","32901"
"Crops and livestock products","United States of America","Yield","Asparagus","2001","33202"
"Crops and livestock products","United States of America","Yield","Asparagus","2002","31723"
"Crops and livestock products","United States of America","Yield","Asparagus","2003","35616"
"Crops and livestock products","United States of America","Yield","Asparagus","2004","37581"
"Crops and livestock products","United States of America","Yield","Asparagus","2005","34876"
"Crops and livestock products","United States of America","Yield","Asparagus","2006","29914"
"Crops and livestock products","United States of America","Yield","Asparagus","2007","38416"
"Crops and livestock products","United States of America","Yield","Asparagus","2008","33139"
"Crops and livestock products","United States of America","Yield","Asparagus","2009","34501"
"Crops and livestock products","United States of America","Yield","Asparagus","2010","31986"
"Crops and livestock products","United States of America","Yield","Asparagus","2011","34294"
"Crops and livestock products","United States of America","Yield","Asparagus","2012","33711"
"Crops and livestock products","United States of America","Yield","Asparagus","2013","34874"
"Crops and livestock products","United States of America","Yield","Asparagus","2014","34995"
"Crops and livestock products","United States of America","Yield","Asparagus","2015","36390"
"Crops and livestock products","United States of America","Yield","Asparagus","2016","36050"
"Crops and livestock products","United States of America","Yield","Asparagus","2017","35855"
"Crops and livestock products","United States of America","Yield","Asparagus","2018","40387"
"Crops and livestock products","United States of America","Yield","Asparagus","2019","40823"
"Crops and livestock products","United States of America","Yield","Asparagus","2020","38808"
"Crops and livestock products","United States of America","Yield","Asparagus","2021","40006"
"Crops and livestock products","United States of America","Yield","Avocados","1961","48990"
"Crops and livestock products","United States of America","Yield","Avocados","1962","44532"
"Crops and livestock products","United States of America","Yield","Avocados","1963","50850"
"Crops and livestock products","United States of America","Yield","Avocados","1964","31137"
"Crops and livestock products","United States of America","Yield","Avocados","1965","57109"
"Crops and livestock products","United States of America","Yield","Avocados","1966","57605"
"Crops and livestock products","United States of America","Yield","Avocados","1967","75282"
"Crops and livestock products","United States of America","Yield","Avocados","1968","47811"
"Crops and livestock products","United States of America","Yield","Avocados","1969","70788"
"Crops and livestock products","United States of America","Yield","Avocados","1970","43462"
"Crops and livestock products","United States of America","Yield","Avocados","1971","78900"
"Crops and livestock products","United States of America","Yield","Avocados","1972","40829"
"Crops and livestock products","United States of America","Yield","Avocados","1973","75050"
"Crops and livestock products","United States of America","Yield","Avocados","1974","55498"
"Crops and livestock products","United States of America","Yield","Avocados","1975","59916"
"Crops and livestock products","United States of America","Yield","Avocados","1976","83134"
"Crops and livestock products","United States of America","Yield","Avocados","1977","59287"
"Crops and livestock products","United States of America","Yield","Avocados","1978","63967"
"Crops and livestock products","United States of America","Yield","Avocados","1979","38602"
"Crops and livestock products","United States of America","Yield","Avocados","1980","89816"
"Crops and livestock products","United States of America","Yield","Avocados","1981","56137"
"Crops and livestock products","United States of America","Yield","Avocados","1982","68039"
"Crops and livestock products","United States of America","Yield","Avocados","1983","74001"
"Crops and livestock products","United States of America","Yield","Avocados","1984","61253"
"Crops and livestock products","United States of America","Yield","Avocados","1985","49594"
"Crops and livestock products","United States of America","Yield","Avocados","1986","78723"
"Crops and livestock products","United States of America","Yield","Avocados","1987","54420"
"Crops and livestock products","United States of America","Yield","Avocados","1988","50086"
"Crops and livestock products","United States of America","Yield","Avocados","1989","36277"
"Crops and livestock products","United States of America","Yield","Avocados","1990","41876"
"Crops and livestock products","United States of America","Yield","Avocados","1991","50315"
"Crops and livestock products","United States of America","Yield","Avocados","1992","80186"
"Crops and livestock products","United States of America","Yield","Avocados","1993","44161"
"Crops and livestock products","United States of America","Yield","Avocados","1994","58364"
"Crops and livestock products","United States of America","Yield","Avocados","1995","63461"
"Crops and livestock products","United States of America","Yield","Avocados","1996","64964"
"Crops and livestock products","United States of America","Yield","Avocados","1997","60333"
"Crops and livestock products","United States of America","Yield","Avocados","1998","54405"
"Crops and livestock products","United States of America","Yield","Avocados","1999","63088"
"Crops and livestock products","United States of America","Yield","Avocados","2000","82247"
"Crops and livestock products","United States of America","Yield","Avocados","2001","77450"
"Crops and livestock products","United States of America","Yield","Avocados","2002","68087"
"Crops and livestock products","United States of America","Yield","Avocados","2003","78207"
"Crops and livestock products","United States of America","Yield","Avocados","2004","58564"
"Crops and livestock products","United States of America","Yield","Avocados","2005","103595"
"Crops and livestock products","United States of America","Yield","Avocados","2006","84967"
"Crops and livestock products","United States of America","Yield","Avocados","2007","65052"
"Crops and livestock products","United States of America","Yield","Avocados","2008","35704"
"Crops and livestock products","United States of America","Yield","Avocados","2009","100978"
"Crops and livestock products","United States of America","Yield","Avocados","2010","65208"
"Crops and livestock products","United States of America","Yield","Avocados","2011","84676"
"Crops and livestock products","United States of America","Yield","Avocados","2012","95398"
"Crops and livestock products","United States of America","Yield","Avocados","2013","67067"
"Crops and livestock products","United States of America","Yield","Avocados","2014","75023"
"Crops and livestock products","United States of America","Yield","Avocados","2015","86599"
"Crops and livestock products","United States of America","Yield","Avocados","2016","53635"
"Crops and livestock products","United States of America","Yield","Avocados","2017","72359"
"Crops and livestock products","United States of America","Yield","Avocados","2018","77628"
"Crops and livestock products","United States of America","Yield","Avocados","2019","57279"
"Crops and livestock products","United States of America","Yield","Avocados","2020","87852"
"Crops and livestock products","United States of America","Yield","Avocados","2021","65184"
"Crops and livestock products","United States of America","Yield","Bananas","1961","105447"
"Crops and livestock products","United States of America","Yield","Bananas","1962","97139"
"Crops and livestock products","United States of America","Yield","Bananas","1963","91981"
"Crops and livestock products","United States of America","Yield","Bananas","1964","114667"
"Crops and livestock products","United States of America","Yield","Bananas","1965","84583"
"Crops and livestock products","United States of America","Yield","Bananas","1966","97531"
"Crops and livestock products","United States of America","Yield","Bananas","1967","89780"
"Crops and livestock products","United States of America","Yield","Bananas","1968","75825"
"Crops and livestock products","United States of America","Yield","Bananas","1969","74441"
"Crops and livestock products","United States of America","Yield","Bananas","1970","82338"
"Crops and livestock products","United States of America","Yield","Bananas","1971","72765"
"Crops and livestock products","United States of America","Yield","Bananas","1972","79485"
"Crops and livestock products","United States of America","Yield","Bananas","1973","112097"
"Crops and livestock products","United States of America","Yield","Bananas","1974","121215"
"Crops and livestock products","United States of America","Yield","Bananas","1975","110275"
"Crops and livestock products","United States of America","Yield","Bananas","1976","101480"
"Crops and livestock products","United States of America","Yield","Bananas","1977","117982"
"Crops and livestock products","United States of America","Yield","Bananas","1978","112609"
"Crops and livestock products","United States of America","Yield","Bananas","1979","101600"
"Crops and livestock products","United States of America","Yield","Bananas","1980","90870"
"Crops and livestock products","United States of America","Yield","Bananas","1981","104615"
"Crops and livestock products","United States of America","Yield","Bananas","1982","90690"
"Crops and livestock products","United States of America","Yield","Bananas","1983","58286"
"Crops and livestock products","United States of America","Yield","Bananas","1984","115429"
"Crops and livestock products","United States of America","Yield","Bananas","1985","108824"
"Crops and livestock products","United States of America","Yield","Bananas","1986","110831"
"Crops and livestock products","United States of America","Yield","Bananas","1987","119400"
"Crops and livestock products","United States of America","Yield","Bananas","1988","138568"
"Crops and livestock products","United States of America","Yield","Bananas","1989","134321"
"Crops and livestock products","United States of America","Yield","Bananas","1990","142389"
"Crops and livestock products","United States of America","Yield","Bananas","1991","143639"
"Crops and livestock products","United States of America","Yield","Bananas","1992","154545"
"Crops and livestock products","United States of America","Yield","Bananas","1993","159226"
"Crops and livestock products","United States of America","Yield","Bananas","1994","175843"
"Crops and livestock products","United States of America","Yield","Bananas","1995","165730"
"Crops and livestock products","United States of America","Yield","Bananas","1996","152062"
"Crops and livestock products","United States of America","Yield","Bananas","1997","161719"
"Crops and livestock products","United States of America","Yield","Bananas","1998","165652"
"Crops and livestock products","United States of America","Yield","Bananas","1999","194052"
"Crops and livestock products","United States of America","Yield","Bananas","2000","222572"
"Crops and livestock products","United States of America","Yield","Bananas","2001","210630"
"Crops and livestock products","United States of America","Yield","Bananas","2002","168587"
"Crops and livestock products","United States of America","Yield","Bananas","2003","187747"
"Crops and livestock products","United States of America","Yield","Bananas","2004","185926"
"Crops and livestock products","United States of America","Yield","Bananas","2005","238791"
"Crops and livestock products","United States of America","Yield","Bananas","2006","190370"
"Crops and livestock products","United States of America","Yield","Bananas","2007","220760"
"Crops and livestock products","United States of America","Yield","Bananas","2008","177303"
"Crops and livestock products","United States of America","Yield","Bananas","2009","188539"
"Crops and livestock products","United States of America","Yield","Bananas","2010","181438"
"Crops and livestock products","United States of America","Yield","Bananas","2011","194889"
"Crops and livestock products","United States of America","Yield","Bananas","2012","181845"
"Crops and livestock products","United States of America","Yield","Bananas","2013","181923"
"Crops and livestock products","United States of America","Yield","Bananas","2014","187701"
"Crops and livestock products","United States of America","Yield","Bananas","2015","161994"
"Crops and livestock products","United States of America","Yield","Bananas","2016","115204"
"Crops and livestock products","United States of America","Yield","Bananas","2017","79474"
"Crops and livestock products","United States of America","Yield","Bananas","2018","83250"
"Crops and livestock products","United States of America","Yield","Bananas","2019","108046"
"Crops and livestock products","United States of America","Yield","Bananas","2020","97117"
"Crops and livestock products","United States of America","Yield","Bananas","2021","90375"
"Crops and livestock products","United States of America","Yield","Barley","1961","16489"
"Crops and livestock products","United States of America","Yield","Barley","1962","18839"
"Crops and livestock products","United States of America","Yield","Barley","1963","18808"
"Crops and livestock products","United States of America","Yield","Barley","1964","20209"
"Crops and livestock products","United States of America","Yield","Barley","1965","23071"
"Crops and livestock products","United States of America","Yield","Barley","1966","20582"
"Crops and livestock products","United States of America","Yield","Barley","1967","21785"
"Crops and livestock products","United States of America","Yield","Barley","1968","23557"
"Crops and livestock products","United States of America","Yield","Barley","1969","24039"
"Crops and livestock products","United States of America","Yield","Barley","1970","23049"
"Crops and livestock products","United States of America","Yield","Barley","1971","24617"
"Crops and livestock products","United States of America","Yield","Barley","1972","23517"
"Crops and livestock products","United States of America","Yield","Barley","1973","21808"
"Crops and livestock products","United States of America","Yield","Barley","1974","20263"
